data_referencia;cod_ibge;txt_municipio;txt_uf;num_ano_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2009;2;106000;28406
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2010;11;598983.79;129620
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2011;9;450560.20;35436
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2012;26;1711299.54;532644.40
01/11/2024;110001;;RO;2013;33;2331474.54;690322.69
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2014;42;3001273.46;924962.69
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2015;43;3017464.23;816503.31
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2016;25;1862638.58;302075.69
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2017;15;1156655;243058.31
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2018;17;1598038.89;271553.76
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2019;9;778097.62;139632.14
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2020;19;1859866.67;384218.22
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2021;2;199983.54;73505.18
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2022;8;766674.89;136845.29
01/11/2024;110001;Alta Floresta D'Oeste ;RO;2023;24;3065153.78;470206.34
01/11/2024;110001;;RO;2024;27;4314909.95;335437.25
01/11/2024;110002;Ariquemes ;RO;2009;64;2947428.83;769513.30
01/11/2024;110002;Ariquemes ;RO;2010;94;5414181.69;1387931
01/11/2024;110002;Ariquemes ;RO;2011;115;7737559.30;536683.60
01/11/2024;110002;Ariquemes ;RO;2012;108;7850479.02;1832872.95
01/11/2024;110002;Ariquemes ;RO;2013;173;14427670.23;3374067.47
01/11/2024;110002;Ariquemes ;RO;2014;174;15157080.21;3876569.07
01/11/2024;110002;Ariquemes ;RO;2015;233;21182376.89;5448985.01
01/11/2024;110002;Ariquemes ;RO;2016;191;17645363.46;3681991.47
01/11/2024;110002;Ariquemes ;RO;2017;218;21139675.06;4530964.07
01/11/2024;110002;Ariquemes ;RO;2018;191;18757707.11;4695332.10
01/11/2024;110002;Ariquemes ;RO;2019;134;14073010.20;2759372.32
01/11/2024;110002;Ariquemes ;RO;2020;148;15439420.95;3384975.17
01/11/2024;110002;Ariquemes ;RO;2021;90;9682017.12;2228634.46
01/11/2024;110002;Ariquemes ;RO;2022;109;14021589.25;1495133.05
01/11/2024;110002;Ariquemes ;RO;2023;133;21307837.30;2088908.20
01/11/2024;110002;Ariquemes ;RO;2024;170;28454146.73;2897440.81
01/11/2024;110003;Cabixi ;RO;2024;1;152000;9188.55
01/11/2024;110004;Cacoal ;RO;2009;115;5341445.32;1510222.85
01/11/2024;110004;Cacoal ;RO;2010;197;10124904.52;3190662
01/11/2024;110004;Cacoal ;RO;2011;125;8127136.27;753630.60
01/11/2024;110004;Cacoal ;RO;2012;122;8618960.32;2279280.93
01/11/2024;110004;Cacoal ;RO;2013;161;12336601.18;3003031
01/11/2024;110004;Cacoal ;RO;2014;280;21448777.16;5221906.79
01/11/2024;110004;Cacoal ;RO;2015;184;15003808.23;3416061.46
